IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN517_c0_g3	21.04300837	-0.065616783	0.16439564	0.382448998	0.820343243
TRINITY_DN5778_c0_g1	1.714409776	-0.06564127	0.274346218	0.23243552	NA
TRINITY_DN1214_c0_g1	11.07988848	-0.06564292	0.192155022	0.377568737	0.816278458
TRINITY_DN1380_c3_g1	6.303988799	-0.065700425	0.222177806	0.359198719	NA
TRINITY_DN1309_c1_g1	2.618661893	-0.065701182	0.260977508	0.285274193	NA
TRINITY_DN590_c0_g1	7.915220102	-0.065737928	0.212236402	0.367279284	0.810484472
TRINITY_DN3353_c0_g1	3.377482112	-0.065741078	0.249320708	0.316812859	NA
TRINITY_DN8570_c0_g1	1.661501789	-0.065774328	0.273986906	0.233874998	NA
TRINITY_DN6002_c1_g1	4.590742265	-0.065814606	0.236216824	0.341135182	NA
TRINITY_DN3568_c1_g2	8.511147045	-0.065836139	0.208396479	0.369200601	0.811222353
TRINITY_DN19936_c0_g1	1.501976248	-0.065837884	0.279439793	0.205541665	NA
TRINITY_DN1248_c2_g1	3.979547398	-0.065921309	0.240666706	0.33329434	NA
TRINITY_DN3944_c0_g1	3.99978205	-0.065998717	0.242688881	0.329265901	NA
TRINITY_DN3548_c0_g1	28.22795272	-0.066014752	0.157606138	0.380324863	0.818885041
TRINITY_DN12468_c0_g1	5.592278982	-0.066015577	0.230495594	0.348114857	NA
TRINITY_DN4478_c0_g1	12.00712087	-0.066064259	0.190893555	0.375391988	0.815661969
TRINITY_DN13118_c0_g1	14.14743694	-0.066088312	0.202815584	0.370737827	0.811336199
TRINITY_DN951_c0_g1	153.9076001	-0.0661006	0.101791624	0.361622449	0.807134518
TRINITY_DN5758_c0_g1	1.396392216	-0.066173698	0.280100234	0.201443022	NA
TRINITY_DN4563_c0_g1	30.72378296	-0.066206437	0.154750722	0.379215963	0.818534442
TRINITY_DN2335_c0_g1	11.49644044	-0.066240331	0.190545998	0.374426928	0.814684474
TRINITY_DN1403_c0_g1	9.516375632	-0.066249284	0.20060362	0.370803564	0.811336199
TRINITY_DN5789_c0_g1	190.9412929	-0.066267087	0.097294711	0.353566853	0.805713943
TRINITY_DN400_c0_g1	109.9789016	-0.066274708	0.109064195	0.36848688	0.811222353
TRINITY_DN10615_c0_g1	86.81589087	-0.066282805	0.11481305	0.372686663	0.812491094
TRINITY_DN13115_c0_g1	3.224592362	-0.066285991	0.250823385	0.310897874	NA
TRINITY_DN1068_c0_g1	18.8229744	-0.066308566	0.171481052	0.377461574	0.816278458
TRINITY_DN11738_c0_g1	2.812183815	-0.066356387	0.258648335	0.289966273	NA
TRINITY_DN8184_c0_g1	23.3730603	-0.066396424	0.165612036	0.377429375	0.816278458
TRINITY_DN451_c0_g2	52.13845128	-0.06639721	0.131410252	0.377365739	0.816278458
TRINITY_DN13777_c0_g1	2.39911825	-0.066431612	0.260002427	0.285608123	NA
TRINITY_DN16846_c0_g1	48.97235256	-0.066437253	0.136089394	0.37757487	0.816278458
TRINITY_DN2546_c0_g1	6.374688212	-0.066452222	0.219782591	0.357270487	NA
TRINITY_DN1236_c0_g1	23.59689966	-0.066457366	0.158714564	0.377453632	0.816278458
TRINITY_DN8557_c0_g1	2.589136468	-0.066495919	0.257684537	0.292220518	NA
